english,swahili,status,due
to praise ,kusifu,,
to spread out ,kuenea,,
to walk ,kutembea,,
to move ,kusafiri,,
to stop ,kusimama,,
to fall down ,kuangua,,
to postpone ,kuahirika,,
to fear ,kuogopa,,
to make an effort ,kujitahidi,,
to emerge ,kuibua,,
to change ,kubadili,,
to feel ,kuhisi,,
to deny ,kukana,,
to ache ,kuuma,,
to persuade ,kushawishi,,
to go :down ,kushuka,,
to go around ,kuzungua,,
to command ,kuamuru,,
to realize ,kubaini,,
to motivate ,kuhamasika,,
to retire ,kustaafu,,
to be said ,kusema,,
to cease ,kukoma,,
to pay ,kulipa,,
to print ,kuchapa,,
to remain ,kubaki,,
to narrate ,kusimulia,,
to pronounce ,kutamka,,
to sign ,kusaini,,
to emigrate ,kuhama,,
to accuse ,kushutumu,,
to be amazed ,kushangaa,,
to employ ,kuajiri,,
to take ,kutwaa,,
to finish ,kuisha,,
to obtain ,kupata,,
to get ,kupata,,
to fight for ,kuwania,,
to endorse ,kuidhini,,
to follow ,kuandama,,
to be responsible ,kuwajibika,,
to deny ,kukanuka,,
to burn ,kuchoma,,
to step over ,kukiuka,,
to accomplish ,kufanikika,,
to hesitate ,kusita,,
to rescue ,kuokoa,,
to last ,kudumu,,
to complain ,kulalama,,
to spread ,kuenea,,
to there is not ,kuhapana,,
to increase ,kuongeza,,
to lift ,kuinua,,
to arrive ,kuwasili,,
to immigrate ,kuhama,,
to poke ,kuchocha,,
to form a conglomerate ,kujumuika,,
to produce ,kuzaa,,
to amaze ,kushangaa,,
to hit ,kupiga,,
to have ,kuzina,,
to complain ,kulalama,,
to pull ,kuvuta,,
to repeat ,kukariri,,
to be late ,kuchelewa,,
to suffice ,kutosha,,
to laugh ,kucheka,,
to reveal ,kudhihiri,,
to finish ,kuisha,,
to follow ,kufuata,,
to run ,kukimbia,,
to inaugurate ,kuzindua,,
to remember ,kukumbuka,,
to be lost ,kupotea,,
to force ,kulazimu,,
to judge ,kuhukumu,,
to see ,kuona,,
to sing ,kuimba,,
to turn ,kugeuka,,
to avoid ,kuepua,,
to write ,kuandika,,
to love ,kupenda,,
to there are not ,kuhakuna,,
to have ,kulina,,
to keep :back ,kunyima,,
to intoxicate ,kulevya,,
to marry ,kuoa,,
to count ,kuhesabu,,
to avoid ,kuepuka,,
to believe ,kusadiki,,
to clean ,kusafi,,
to solve ,kutatua,,
to pray ,kuswali,,
to which ,kutokana_na,,
to be audible ,kusikia,,
to bury ,kuzika,,
to scoop up ,kuteka,,
to which ,kuwa_na,,
to be damaged ,kuharibu,,
to serve ,kutumikia,,
to put standing ,kusimama,,
to play ,kucheza,,
to share ,kugawa,,
to read ,kusoma,,
to be acceptable ,kukubali,,
to go away ,kutowea,,
to extinguish ,kuzima,,
to celebrate ,kuadhimika,,
to arrive ,kufika,,
to imprison ,kufunga,,
to bring up ,kulea,,
to disregard ,kupuuza,,
to concern ,kuhusu,,
to be understandable ,kuelewa,,
to invent ,kubuni,,
to bubble ,kubura,,
to take :leave ,kuaga,,
to preach ,kuhutubu,,
to become obvious ,kubaini,,
to curse ,kulaani,,
to stick together ,kuambata,,
to approach ,kukaribia,,
to give ,kutoa,,
to broaden ,kupanua,,
to have ,kuyana,,
to fill ,kujaa,,
to mean ,kumaanika,,
to ensure ,kuhakiki,,
to resemble ,kufana,,
to prepare self ,kuandaa,,
to bother ,kusumbua,,
to turn ,kugeuza,,
to manage ,kumudu,,
to be satisfied ,kuridhi,,
to have ,kukina,,
to mix ,kuchanganya,,
to frighten ,kutii,,
to boycott ,kugoma,,
to touch ,kugusa,,
to invite ,kualika,,
to cover ,kufunika,,
to fight for ,kupiga,,
to push ,kusukuma,,
to press ,kubana,,
to itch ,kuwawa,,
to get broken ,kuvunja,,
to have ,kusina,,
to repeat ,kurudi,,
to run away ,kutimua,,
to create ,kuumba,,
to form an idea ,kukadiri,,
to attack ,kushambua,,
to report ,kuripoti,,
to to ,kuchukua_hatua,,
to drink ,kunya,,
to have ,kutuna,,
to enter ,kuingia,,
to be successful ,kufaulu,,
to have ,kunina,,
to maintain ,kudumu,,
to destroy ,kuangamiza,,
to educate ,kufunza,,
to pray ,kusali,,
to recognize ,kutambua,,
to sponsor ,kudhamini,,
to prefer ,kupendelea,,
to escape ,kutoroka,,
to immigrate ,kuhama,,
to pressurize ,kushinikiza,,
to he ,kuwa_ni,,
to be tired ,kuchoka,,
to be ill ,kuugua,,
to burn ,kuteketea,,
to build ,kujenga,,
to realize ,kubaini,,
to coordinate ,kuratibu,,
to inform ,kupasha,,
to throw ,kuruka,,
to signal to ,kuashiria,,
to think carefully ,kutafakari,,
to to ,kuunga_mkono,,
to sadden ,kusikitika,,
to cost ,kugharimu,,
to ask ,kuomba,,
to search ,kutafuta,,
to leave ,kuacha,,
to sow ,kupanda,,
to be afraid ,kuhofu,,
to feel happy ,kufurahi,,
to sort out ,kuchambua,,
to fabricate ,kuzua,,
to endanger ,kuhatarika,,
to fly ,kuruka,,
to satisfy ,kukidhi,,
to be missing ,kukosa,,
to inspect ,kukagua,,
to have sexual intercourse ,kujamii,,
to be dead ,kumata,,
to there ,kuwa_na,,
to avoid ,kukwepa,,
to wait ,kungoja,,
to recover ,kupona,,
to suit ,kupasa,,
to value ,kuthamini,,
to be stuck ,kukwama,,
to imitate ,kuiga,,
